rule,sourceType,sourceFile,sourceRow,partyName,currency,direction,rawBalance,ourRefNo,sourceInternalId
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,302,LEMOND FOOD CORP NEW ADDR,USD,receivable,15,PEOI009257,17033
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,308,ALPACA HOUSE CANADA,CAD,receivable,591.79,PEAI008783,17027
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,309,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009238,17026
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,316,LEMOND FOOD CORP NEW ADDR,CAD,receivable,2020,PEOI009302,17017
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,317,LEMOND FOOD CORP NEW ADDR,USD,receivable,4500,PEOI009300,17016
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,331,LEMOND FOOD CORP NEW ADDR,USD,receivable,300,PEOI009255,17008
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,332,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009246,17007
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,333,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009245,17006
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,334,LEMOND FOOD CORP NEW ADDR,USD,receivable,15,PEOI009163,17005
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,335,EGONGEGONG CANADA,CAD,receivable,250,PEAI008773,17122
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,336,AMOREPACIFIC CANADA INC(5,CAD,settled,0,PEAI008782,17100
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,337,RATELIER,CAD,settled,0,PEOI009281,17004
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,338,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009257,17003
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,338,LEMOND FOOD CORP NEW ADDR,CAD,settled,0,PEOI009257,17003
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,339,LEMOND FOOD CORP NEW ADDR,CAD,receivable,955,PEOI009296,17002
I2,INVOICE,1.INVOICE_JAN-APR 2026.xls,339,LEMOND FOOD CORP NEW ADDR,CAD,receivable,955,PEOI009296,17002
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,339,LEMOND FOOD CORP NEW ADDR,CAD,receivable,955,PEOI009296,17002
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,340,AMOREPACIFIC CANADA INC(5,CAD,settled,0,PEOI009275,17000
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,341,TOTAL CUSTOMS SERVICES IN,CAD,settled,0,PEOI009275,16999
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,342,TOTAL CUSTOMS SERVICES IN,CAD,settled,0,PEOI009275,16998
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,343,ALL METAL SALES,USD,settled,0,PEOI009295,16997
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,344,LEMOND FOOD CORP NEW ADDR,USD,receivable,215,PEOI009284,16995
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,344,LEMOND FOOD CORP NEW ADDR,USD,receivable,215,PEOI009284,16995
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,345,AMOREPACIFIC CANADA INC(5,CAD,settled,0,PEOI009275,17001
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,346,LEMOND FOOD CORP NEW ADDR,USD,receivable,15,PEOI009293,16994
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,346,LEMOND FOOD CORP NEW ADDR,USD,receivable,15,PEOI009293,16994
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,347,TOTAL CUSTOMS SERVICES IN,CAD,settled,0,PEOI009221,16993
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,349,AIM HIGH PROJECTS,USD,settled,0,PEOI009223,17022
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,350,TOTAL CUSTOMS SERVICES IN,CAD,settled,0,PEOI009223,17021
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,351,TOTAL CUSTOMS SERVICES IN,CAD,settled,0,PEOI009187,17020
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,352,AIM HIGH PROJECTS,USD,settled,0,PEOI009187,17018
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,353,ESBE SCIENTIFIC,CAD,settled,0,PEOI009288,16991
I1,INVOICE,1.INVOICE_JAN-APR 2026.xls,354,LEMOND FOOD CORP NEW ADDR,USD,settled,0,PEOI009255,16990
W2,INVOICE,1.INVOICE_JAN-APR 2026.xls,354,LEMOND FOOD CORP NEW ADDR,USD,settled,0,PEOI009255,16990
